researcher,eids,sources,years
7004277360,2-s2.0-84865317773|2-s2.0-84860148212|2-s2.0-79951527977|2-s2.0-51449087527|2-s2.0-57249084037|2-s2.0-34547242996|2-s2.0-34547686594|2-s2.0-33644900239|2-s2.0-29844432436|2-s2.0-3042574092|2-s2.0-0345742325|2-s2.0-0037357267|2-s2.0-0036843854|2-s2.0-0000343255|2-s2.0-0040382317|2-s2.0-84983881745|2-s2.0-21344496918|2-s2.0-0001543560,"Journal of Econometrics|Cliometrica|Econometrica|Journal of Applied Econometrics|B.E. Journal of Macroeconomics|American Economic Review|Journal of Monetary Economics|Canadian Journal of Economics|Journal of International Economics|Journal of Applied Econometrics|Oxford Bulletin of Economics and Statistics|Economics Letters|Journal of Money, Credit and Banking|Journal of Econometrics|Journal of Economic Dynamics and Control|Journal of Applied Econometrics|Economics Letters|Journal of International Economics",2012|2012|2011|2008|2008|2007|2007|2006|2006|2004|2003|2003|2002|1996|1995|1994|1993|1990
7004306326,2-s2.0-7444245569|2-s2.0-0842281968|2-s2.0-0142188086|2-s2.0-0036758535|2-s2.0-0001193948|2-s2.0-0039027651|2-s2.0-0033431087|2-s2.0-0040898637|2-s2.0-0030268728|2-s2.0-0029693533|2-s2.0-0012654087|2-s2.0-0010789921|2-s2.0-0001852811|2-s2.0-84993900546|2-s2.0-84971969183|2-s2.0-38249002901,Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Oxford Review of Economic Policy|Journal of International Money and Finance|Journal of Finance|Review of Financial Studies|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|Journal of Financial and Quantitative Analysis|Journal of Financial Economics,2004|2004|2003|2002|2001|2000|1999|1997|1996|1996|1996|1995|1995|1994|1994|1993
7004314690,2-s2.0-84864819448|2-s2.0-63149100902|2-s2.0-0036983113|2-s2.0-0039247097|2-s2.0-0035180879|2-s2.0-0002523243|2-s2.0-0034531137|2-s2.0-0042826516|2-s2.0-0033263876|2-s2.0-0041111696|2-s2.0-0000727311,Journal of Urban Economics|Journal of Urban Economics|Canadian Journal of Administrative Sciences|Real Estate Economics|Journal of Urban Economics|Journal of Urban Economics|Regional Science and Urban Economics|Journal of Real Estate Finance and Economics|Real Estate Economics|New England Economic Review|Journal of Housing Economics,2013|2009|2002|2001|2001|2000|2000|1999|1999|1996|1995
7004336434,2-s2.0-80053200243|2-s2.0-78650241435|2-s2.0-70350345566|2-s2.0-52149095849|2-s2.0-63549092521|2-s2.0-34548530448|2-s2.0-85011165161|2-s2.0-34248545789|2-s2.0-0346937479|2-s2.0-0242268781|2-s2.0-0346724443|2-s2.0-0036339461|2-s2.0-0036109898|2-s2.0-0034550198|2-s2.0-0040531815|2-s2.0-0000709535|2-s2.0-0031895048|2-s2.0-0032346647|2-s2.0-0031331096|2-s2.0-33746404294|2-s2.0-0042416881|2-s2.0-0000890084|2-s2.0-18544376108|2-s2.0-0030371836|2-s2.0-0002065798|2-s2.0-0002698496|2-s2.0-0000027294|2-s2.0-0028320833|2-s2.0-0000447977|2-s2.0-84952209018|2-s2.0-0027065554|2-s2.0-6944236669|2-s2.0-0026449851|2-s2.0-0001414087|2-s2.0-84971840190|2-s2.0-84947670539|2-s2.0-0000021006|2-s2.0-0003292809|2-s2.0-84949329321|2-s2.0-0024124325|2-s2.0-0009405646|2-s2.0-0000565224|2-s2.0-84959731337|2-s2.0-0343638360|2-s2.0-0000903299|2-s2.0-0040313685|2-s2.0-84953464764|2-s2.0-0345782236|2-s2.0-0010704642|2-s2.0-0001968889|2-s2.0-0344907297|2-s2.0-0010743207|2-s2.0-49249140264|2-s2.0-0009921231|2-s2.0-0002901850|2-s2.0-0000244944|2-s2.0-84911526540|2-s2.0-0016652674|2-s2.0-0016471363|2-s2.0-0016445284|2-s2.0-0008484657|2-s2.0-0002470256|2-s2.0-0000992626|2-s2.0-2242445959|2-s2.0-84950655372|2-s2.0-0015758261|2-s2.0-1542649063,Journal of Financial Econometrics|Journal of Economic Dynamics and Control|Journal of the American Statistical Association|Journal of Econometrics|Journal of Financial Econometrics|Review of Economic Studies|Journal of Business and Economic Statistics|Journal of Business and Economic Statistics|Journal of Econometrics|Journal of Econometrics|Journal of Econometrics|Journal of Business and Economic Statistics|Review of Financial Studies|Macroeconomic Dynamics|Review of Economics and Statistics|Journal of Econometrics|American Naturalist|Journal of the American Statistical Association|Macroeconomic Dynamics|Biometrika|Journal of Econometrics|Journal of Econometrics|Econometric Theory|Econometrica|Journal of Econometrics|Journal of Econometrics|Journal of Economic Behavior and Organization|Neural Networks|Biometrika|Journal of Business and Economic Statistics|Journal of Pharmacokinetics and Biopharmaceutics|Journal of the American Statistical Association|Neural Networks|Physics Letters A|Econometric Theory|Econometric Reviews|Journal of Econometrics|Journal of Econometrics|Communications in Statistics - Simulation and Computation|-|Journal of Econometrics|Journal of Econometrics|American Journal of Agricultural Economics|Journal of Econometrics|Journal of Econometrics|Journal of Econometrics|Econometric Reviews|Journal of Econometrics|Econometric Reviews|Journal of Econometrics|Journal of Econometrics|Journal of the American Statistical Association|Journal of Econometrics|Journal of the American Statistical Association|Journal of Econometrics|Journal of the American Statistical Association|Journal of Statistical Computation and Simulation|Appl Polym Symp|Management Science|-|Journal of the American Statistical Association|Journal of Econometrics|Journal of the American Statistical Association|Journal of the American Statistical Association|Journal of the American Statistical Association|-|Journal of the American Statistical Association,2011|2011|2009|2008|2007|2007|2007|2007|2003|2003|2002|2002|2002|2000|1999|1999|1998|1998|1997|1997|1997|1997|1996|1996|1996|1995|1995|1994|1993|1993|1992|1992|1992|1991|1991|1991|1991|1990|1989|1988|1985|1985|1984|1984|1984|1983|1982|1982|1982|1981|1980|1980|1979|1977|1977|1976|1975|1975|1975|1975|1975|1975|1975|1974|1973|1973|1968
7004449292,2-s2.0-84874192069|2-s2.0-77956189722|2-s2.0-79960267843|2-s2.0-62249194924|2-s2.0-62249154842|2-s2.0-33748423841|2-s2.0-17444383110|2-s2.0-4444313314|2-s2.0-4544362915|2-s2.0-0142184742|2-s2.0-77957046812|2-s2.0-84986880467|2-s2.0-0000789987|2-s2.0-0033019218|2-s2.0-0042216508|2-s2.0-0032325855|2-s2.0-0032220977|2-s2.0-0001851285|2-s2.0-0039712612|2-s2.0-0031498617|2-s2.0-0031439303|2-s2.0-0031420125|2-s2.0-0012446757|2-s2.0-21344439782|2-s2.0-0006852498|2-s2.0-0002954411|2-s2.0-0002577739|2-s2.0-38149146768|2-s2.0-0039703099|2-s2.0-0000658014|2-s2.0-44949279838|2-s2.0-45249125947|2-s2.0-38249006062|2-s2.0-0023498727|2-s2.0-45949121137|2-s2.0-46549102252|2-s2.0-0000847273|2-s2.0-84956430738|2-s2.0-33745670511|2-s2.0-0020341633|2-s2.0-0000455774|2-s2.0-0009311731|2-s2.0-34248015232,"Journal of Economic Growth|Review of Economic Dynamics|Foundations and Trends in Finance|Financial Markets, Institutions and Instruments|Financial Markets, Institutions and Instruments|Journal of Economic Dynamics and Control|Economic Theory|Journal of Economic Theory|Journal of Political Economy|Review of Economic Studies|Journal of the European Economic Association|Journal of Money, Credit and Banking|American Economic Review|Journal of Political Economy|European Economic Review|Research in Economics|Economic Theory|Journal of Econometrics|Journal of Money, Credit and Banking|Journal of Monetary Economics|Journal of Political Economy|Review of Economic Studies|Oxford Review of Economic Policy|Journal of Applied Econometrics|Economic Theory|Economic Theory|Journal of Financial Intermediation|Journal of Economic Dynamics and Control|Economic Theory|Journal of Economic Theory|Journal of Monetary Economics|Journal of Econometrics|Journal of Monetary Economics|Climatic Change|Journal of Econometrics|Journal of Monetary Economics|Journal of Monetary Economics|Econometric Reviews|Econometric Reviews|Southern Economic Journal|Journal of Urban Economics|Social Science Research|Social Science Research",2013|2010|2009|2009|2009|2006|2005|2004|2004|2003|2003|2001|2001|1999|1998|1998|1998|1998|1997|1997|1997|1997|1997|1996|1995|1995|1995|1994|1993|1992|1991|1989|1989|1987|1987|1985|1985|1982|1982|1982|1982|1980|1979
7004449718,2-s2.0-84888434702|2-s2.0-84885838422|2-s2.0-84883143707|2-s2.0-84886054988|2-s2.0-84880957457|2-s2.0-84876385277|2-s2.0-84879971275|2-s2.0-84860887972|2-s2.0-84892499102|2-s2.0-79961225547|2-s2.0-79958285372|2-s2.0-79960757658|2-s2.0-78650958720|2-s2.0-78649899841|2-s2.0-77956716958|2-s2.0-77955352071|2-s2.0-75849133197|2-s2.0-75849146031|2-s2.0-70249151372|2-s2.0-70349932652|2-s2.0-70349621611|2-s2.0-64549137969|2-s2.0-61849119121|2-s2.0-72149097112|2-s2.0-84896530529|2-s2.0-40549101043|2-s2.0-38949184923|2-s2.0-34147126976|2-s2.0-33947382611|2-s2.0-33847392486|2-s2.0-33846503312|2-s2.0-33646108339|2-s2.0-33645940610|2-s2.0-31744441165|2-s2.0-30744470101|2-s2.0-27244456023|2-s2.0-26944452021|2-s2.0-26944442012|2-s2.0-27144544124|2-s2.0-23944481571|2-s2.0-18744377999|2-s2.0-20744449302|2-s2.0-11944263904|2-s2.0-4444298525|2-s2.0-1542426433|2-s2.0-0348198164|2-s2.0-0041929375|2-s2.0-85064672740|2-s2.0-0037312747|2-s2.0-0037237274|2-s2.0-0346724447|2-s2.0-85045980281|2-s2.0-18644376930|2-s2.0-0035629982|2-s2.0-0035115452|2-s2.0-0041914209|2-s2.0-0033467440|2-s2.0-0033419910|2-s2.0-0033416447|2-s2.0-0000557541,North American Journal of Economics and Finance|European Financial Management|Journal of Economic Dynamics and Control|Review of Economics and Statistics|Journal of Macroeconomics|Review of Finance|Journal of Forecasting|Journal of Banking and Finance|Financial Analysts Journal|Applied Economics|Journal of Econometrics|Applied Economics|International Journal of Forecasting|Applied Financial Economics|Journal of Economic Dynamics and Control|Journal of Econometrics|Journal of Banking and Finance|Quantitative Finance|Journal of Banking and Finance|Journal of Business and Economic Statistics|Journal of Financial Econometrics|Journal of International Money and Finance|International Journal of Forecasting|Trimestre Economico|Frontiers of Economics and Globalization|Econometric Reviews|International Journal of Forecasting|Computational Statistics and Data Analysis|Journal of Econometrics|Computational Statistics and Data Analysis|Journal of Econometrics|Computational Statistics and Data Analysis|Advances in Econometrics|Applied Financial Economics|Journal of Business and Economic Statistics|Economics Letters|International Journal of Forecasting|International Journal of Forecasting|Journal of Applied Econometrics|Emerging Markets Review|Journal of Development Economics|Journal of Applied Econometrics|International Journal of Forecasting|Review of Economics and Statistics|Applied Financial Economics|Oxford Bulletin of Economics and Statistics|Journal of Forecasting|IFAC Proceedings Volumes (IFAC-PapersOnline)|Journal of Empirical Finance|Journal of Business and Economic Statistics|Journal of Econometrics|Econometric Reviews|Oxford Bulletin of Economics and Statistics|Macroeconomic Dynamics|Environmental Modelling and Software|Journal of Banking and Finance|Journal of Applied Econometrics|Journal of Business and Economic Statistics|Macroeconomic Dynamics|Journal of Forecasting,2013|2013|2013|2013|2013|2013|2013|2012|2012|2012|2011|2011|2011|2011|2010|2010|2010|2010|2009|2009|2009|2009|2009|2009|2008|2008|2008|2007|2007|2007|2007|2006|2006|2006|2006|2005|2005|2005|2005|2005|2005|2005|2005|2004|2004|2003|2003|2003|2003|2003|2002|2002|2002|2001|2001|2000|1999|1999|1999|1996
7004484373,2-s2.0-84880947894|2-s2.0-85046711888|2-s2.0-84855179312|2-s2.0-34547311747|2-s2.0-13244262691|2-s2.0-0037238508|2-s2.0-0036198935|2-s2.0-0036054057|2-s2.0-0035623632|2-s2.0-0039782101|2-s2.0-0001918323|2-s2.0-0033473733|2-s2.0-0031138798|2-s2.0-0038876838|2-s2.0-0010656799|2-s2.0-43949161678|2-s2.0-44949273279|2-s2.0-77957026226|2-s2.0-0024685730|2-s2.0-0003192710|2-s2.0-38249030663|2-s2.0-38249036806|2-s2.0-38249039701|2-s2.0-0003167291|2-s2.0-0042822680|2-s2.0-0003143867|2-s2.0-33645798486|2-s2.0-0001441742|2-s2.0-0041112465|2-s2.0-49149144624|2-s2.0-0001871175|2-s2.0-49349127477,Econometrica|Quarterly Journal of Finance|Review of Economic Studies|American Economic Review|Review of Economic Studies|Econometrica|Journal of Economic Dynamics and Control|Review of Economic Dynamics|Review of Economics and Statistics|American Economic Review|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Economic Dynamics and Control|Review of Economic Studies|Quarterly Journal of Economics|Journal of Financial Intermediation|Carnegie-Rochester Confer. Series on Public Policy|Handbook of Monetary Economics|Journal of Public Economics|Review of Economic Studies|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Public Economics|Journal of Monetary Economics|Journal of Economic Dynamics and Control|Journal of Monetary Economics|Journal of Public Economics|Journal of Monetary Economics|Quarterly Journal of Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Monetary Economics|Journal of Development Economics,2013|2012|2011|2007|2005|2003|2002|2002|2001|2001|1999|1999|1997|1996|1996|1994|1991|1990|1989|1989|1988|1987|1986|1985|1984|1983|1982|1982|1981|1980|1979|1978
7004492050,2-s2.0-84883801295|2-s2.0-84890397090|2-s2.0-84871398888|2-s2.0-84865608721|2-s2.0-84855917004|2-s2.0-80052774342|2-s2.0-79955873255|2-s2.0-85017171171|2-s2.0-79751512847|2-s2.0-79955554480|2-s2.0-70349135612|2-s2.0-85017102279|2-s2.0-48849110781|2-s2.0-37849020734|2-s2.0-36348989448|2-s2.0-33947654291|2-s2.0-33847323444|2-s2.0-34250866156|2-s2.0-33645498998|2-s2.0-31344474582|2-s2.0-27744571863|2-s2.0-22144493780|2-s2.0-33646434000|2-s2.0-4544328441|2-s2.0-4744338405|2-s2.0-21244499323|2-s2.0-20444507183|2-s2.0-0037567583|2-s2.0-0242306004|2-s2.0-0036339136|2-s2.0-0035005619|2-s2.0-0000752458|2-s2.0-78349249502|2-s2.0-0006260747|2-s2.0-0040364531|2-s2.0-0033211941|2-s2.0-0013326537|2-s2.0-0000198452|2-s2.0-0031670190|2-s2.0-0030305627|2-s2.0-0000499343|2-s2.0-58149210891|2-s2.0-0028786292|2-s2.0-0008057028|2-s2.0-43949155590|2-s2.0-38149147345|2-s2.0-20044388717|2-s2.0-0005976519|2-s2.0-0000345748|2-s2.0-0027705132|2-s2.0-84940643524|2-s2.0-38249017010,"Journal of the European Economic Association|IMF Economic Review|Journal of Money, Credit and Banking|NBER Macroeconomics Annual|Journal of Monetary Economics|Economia Chilena|Journal of the European Economic Association|American Economic Journal: Macroeconomics|International Journal of Central Banking|NBER Macroeconomics Annual|International Journal of Economic Theory|American Economic Journal: Macroeconomics|Journal of International Economics|Journal of Economic Perspectives|Journal of the European Economic Association|Review of Economics and Statistics|Journal of Money, Credit and Banking|NBER Macroeconomics Annual|Journal of the European Economic Association|CESifo Economic Studies|Journal of Monetary Economics|Review of Economic Studies|Federal Reserve Bank of St. Louis Review|Journal of Money, Credit and Banking|Revista de Calidad Asistencial|NBER Macroeconomics Annual|Journal of the European Economic Association|Journal of Monetary Economics|Economic Policy|Journal of Monetary Economics|European Economic Review|American Economic Review|Spanish Economic Review|Quarterly Journal of Economics|Journal of Economic Literature|Journal of Monetary Economics|Review of Economic Studies|American Economic Review|European Economic Review|Economic Theory|European Economic Review|Carnegie-Rochester Confer. Series on Public Policy|Regional Science and Urban Economics|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|European Economic Review|Journal of Economic Theory|Journal of Economic Theory|European Economic Review|Review of Economics &amp; Statistics|Quarterly Journal of Economics|Journal of Monetary Economics",2013|2013|2012|2011|2011|2011|2011|2010|2010|2010|2009|2009|2008|2007|2007|2007|2007|2006|2006|2005|2005|2005|2005|2004|2004|2004|2004|2003|2003|2002|2001|2001|2000|2000|1999|1999|1999|1999|1998|1996|1996|1995|1995|1995|1994|1994|1994|1994|1994|1993|1992|1990
7004513266,2-s2.0-84872908797|2-s2.0-77954237359|2-s2.0-73249149968|2-s2.0-60849101088|2-s2.0-41449092564|2-s2.0-33947386673|2-s2.0-33646522934|2-s2.0-27544474715|2-s2.0-15944416168|2-s2.0-2342504590|2-s2.0-0141941629|2-s2.0-0036099339|2-s2.0-0035180989|2-s2.0-0000351334|2-s2.0-0034375686|2-s2.0-0033435843|2-s2.0-0013164423|2-s2.0-0032378974|2-s2.0-0031484291|2-s2.0-0012958322|2-s2.0-0002825953|2-s2.0-38248999408|2-s2.0-84984076308|2-s2.0-38249015055|2-s2.0-38249013103|2-s2.0-0001384641|2-s2.0-84984059612|2-s2.0-84984067858|2-s2.0-84983954398|2-s2.0-84983965838|2-s2.0-84983954415|2-s2.0-0006498249|2-s2.0-0002469680|2-s2.0-0001847760|2-s2.0-0006725048|2-s2.0-0000454480|2-s2.0-49449129384|2-s2.0-0016929415|2-s2.0-0001904368|2-s2.0-0037627167|2-s2.0-0006748895|2-s2.0-0001356958,Journal of Real Estate Finance and Economics|Real Estate Economics|Journal of Portfolio Management|Real Estate Economics|Journal of Real Estate Research|Journal of Real Estate Research|Journal of Urban Economics|Journal of Portfolio Management|Journal of Real Estate Research|Journal of Urban Economics|Journal of Portfolio Management|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Real Estate Economics|Real Estate Economics|Journal of Urban Economics|Real Estate Economics|Journal of Real Estate Finance and Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Real Estate Economics|Journal of Urban Economics|Journal of Urban Economics|Regional Science and Urban Economics|Real Estate Economics|Real Estate Economics|Real Estate Economics|Real Estate Economics|Real Estate Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Urban Economics|Transportation|Journal of Urban Economics|Journal of Public Economics|Journal of Urban Economics|Journal of Economic Theory,2013|2010|2009|2009|2008|2007|2006|2005|2005|2004|2003|2002|2001|2000|2000|1999|1998|1998|1997|1994|1994|1993|1992|1992|1992|1991|1990|1989|1989|1988|1987|1985|1982|1982|1981|1978|1977|1976|1976|1975|1974|1974
7004575366,2-s2.0-84893342180|2-s2.0-84890945557|2-s2.0-84880444367|2-s2.0-84880606587|2-s2.0-84879074904|2-s2.0-84879594857|2-s2.0-84873578107|2-s2.0-84871908783|2-s2.0-84865360187|2-s2.0-84863228128|2-s2.0-84860444979|2-s2.0-84858117487|2-s2.0-79951802274|2-s2.0-82455246563|2-s2.0-78649858243|2-s2.0-77953812948|2-s2.0-77950106364|2-s2.0-77953783659|2-s2.0-79951941121|2-s2.0-77956112595|2-s2.0-77955269539|2-s2.0-80051564142|2-s2.0-77950778813|2-s2.0-85017141353|2-s2.0-73849099028|2-s2.0-64849108467|2-s2.0-70149109642|2-s2.0-58749105480|2-s2.0-46049117276|2-s2.0-46049103796|2-s2.0-42149098701|2-s2.0-47749091642|2-s2.0-34447104846|2-s2.0-33947515578|2-s2.0-34247212147|2-s2.0-33947543798|2-s2.0-31444433012|2-s2.0-17044405112|2-s2.0-31444446643|2-s2.0-24144493746|2-s2.0-29544443489|2-s2.0-25844493602|2-s2.0-12144283943|2-s2.0-33749991949|2-s2.0-10644262946|2-s2.0-4444289470|2-s2.0-4143154079|2-s2.0-4043088474|2-s2.0-4043050156|2-s2.0-0346642340|2-s2.0-1442328360|2-s2.0-0242467607|2-s2.0-2942706066|2-s2.0-0037677811|2-s2.0-0037403545|2-s2.0-0347902514|2-s2.0-0347022866|2-s2.0-0038630073|2-s2.0-0037353322|2-s2.0-0037273816|2-s2.0-0012615580|2-s2.0-0036866103|2-s2.0-0036791023|2-s2.0-0036487678|2-s2.0-0041669366|2-s2.0-0001511166|2-s2.0-0038154599|2-s2.0-0001973651|2-s2.0-0038630065|2-s2.0-0001654625|2-s2.0-0012621543|2-s2.0-0039964955|2-s2.0-0003170891|2-s2.0-0033466690|2-s2.0-0006761611|2-s2.0-0032416910|2-s2.0-0001949247|2-s2.0-0001040607|2-s2.0-0000926338|2-s2.0-0347510823|2-s2.0-0345847942|2-s2.0-0040473814|2-s2.0-0039647007|2-s2.0-0039415712|2-s2.0-0031446931|2-s2.0-0012006828|2-s2.0-0002307601|2-s2.0-0001503097|2-s2.0-0001026456|2-s2.0-0000038124|2-s2.0-0041374878|2-s2.0-0030456301|2-s2.0-0029728983|2-s2.0-0006161023|2-s2.0-0001317999|2-s2.0-85005244063|2-s2.0-84993869066|2-s2.0-84960604076|2-s2.0-0001059841|2-s2.0-0000863210|2-s2.0-84993890035|2-s2.0-84984455846|2-s2.0-54749120012|2-s2.0-85076746696|2-s2.0-84977721574|2-s2.0-84960583830|2-s2.0-44049112945|2-s2.0-84977736029|2-s2.0-84896163468|2-s2.0-0002271588|2-s2.0-84977712440|2-s2.0-84977702683|2-s2.0-0025150389|2-s2.0-84977724306|2-s2.0-45349109969|2-s2.0-0024824670|2-s2.0-33645896609|2-s2.0-0000183976,"Journal of Law and Economics|Journal of Political Economy|Journal of Finance|American Economic Journal: Applied Economics|American Economic Review|Journal of Law and Economics|Quarterly Journal of Economics|Journal of Economic Literature|Quarterly Journal of Economics|American Economic Review|Journal of Financial Economics|Journal of Financial Economics|Journal of Economic Perspectives|Foreign Affairs|Quarterly Journal of Economics|Journal of Financial Economics|Quarterly Journal of Economics|American Economic Journal: Macroeconomics|Journal of Legal Studies|American Economic Review|American Economic Journal: Applied Economics|Brookings Papers on Economic Activity|Cato Journal|American Economic Journal: Economic Policy|American Economic Review|Journal of Economic Literature|Brookings Papers on Economic Activity|Journal of Political Economy|Journal of Economic Literature|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Legal Studies|Journal of Economic Growth|Journal of Comparative Economics|Journal of Financial Economics|Journal of Political Economy|Journal of Finance|Journal of Economic Perspectives|Quarterly Journal of Economics|American Law and Economics Review|American Economic Review|Journal of Law, Economics, and Organization|Journal of Financial Economics|European Financial Management|Quarterly Journal of Economics|Journal of Economic Growth|Trimestre Economico|American Economic Review|American Economic Review|Journal of Political Economy|Foreign Affairs|Journal of Financial Economics|American Economic Review|Quarterly Journal of Economics|Journal of Financial Economics|Journal of Law and Economics|Journal of Comparative Economics|Journal of Economic Literature|World Bank Research Observer|Journal of Monetary Economics|Journal of Finance|Quarterly Journal of Economics|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Finance|IMF Staff Papers|Journal of Public Economics|American Economic Review|Quarterly Journal of Economics|Journal of Finance|American Economic Review|Journal of Financial Economics|Journal of Law, Economics, and Organization|Journal of Finance|Journal of Political Economy|Journal of Financial Economics|American Economic Review|Journal of Economic Perspectives|American Economic Review|American Economic Review|European Economic Review|Journal of Finance|RAND Journal of Economics|Journal of Development Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Finance|Journal of Finance|Brookings Papers on Economic Activity|European Economic Review|Journal of Political Economy|Economic Journal|European Economic Review|Journal of Monetary Economics|Contemporary Economic Policy|The Journal of Finance|Quarterly Journal of Economics|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|Economics of Transition|Quarterly Journal of Economics|RAND Journal of Economics|The Journal of Finance|Quarterly Journal of Economics|Journal of Financial Economics|The Journal of Finance|The Journal of Economic History|Strategic Management Journal|The Journal of Finance|The Journal of Finance|Science|The Journal of Finance|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Financial Economics|The Journal of Finance",2013|2013|2013|2013|2013|2013|2013|2012|2012|2012|2012|2012|2011|2011|2010|2010|2010|2010|2010|2010|2010|2010|2009|2009|2009|2009|2008|2008|2008|2008|2008|2008|2007|2007|2007|2007|2006|2005|2005|2005|2005|2005|2005|2005|2004|2004|2004|2004|2004|2004|2004|2003|2003|2003|2003|2003|2003|2003|2003|2003|2003|2002|2002|2002|2002|2002|2001|2001|2001|2001|2000|2000|2000|1999|1999|1998|1998|1998|1998|1997|1997|1997|1997|1997|1997|1997|1997|1997|1997|1997|1996|1996|1996|1996|1995|1994|1994|1994|1994|1994|1993|1993|1993|1992|1992|1992|1992|1991|1991|1991|1990|1990|1990|1989|1989|1989|1988|1986
7004577163,2-s2.0-84903770348|2-s2.0-84873458386|2-s2.0-84857985114|2-s2.0-76049096299|2-s2.0-85017125338|2-s2.0-56349121299|2-s2.0-52649120350|2-s2.0-36049017373|2-s2.0-34247372674|2-s2.0-33947694281|2-s2.0-33744517109|2-s2.0-27744436621|2-s2.0-4043162014|2-s2.0-3242678697|2-s2.0-4344672017|2-s2.0-13844250448|2-s2.0-0942267283|2-s2.0-0142215929|2-s2.0-0042420216|2-s2.0-0036655918|2-s2.0-0347947914|2-s2.0-0034338743|2-s2.0-0001682128|2-s2.0-77956721659|2-s2.0-0002653130|2-s2.0-0039534676|2-s2.0-0001559580|2-s2.0-0030119293|2-s2.0-11244314971|2-s2.0-0001246509|2-s2.0-84963078940|2-s2.0-84977725256|2-s2.0-84977722451|2-s2.0-38249030124|2-s2.0-46549104441,"NBER Macroeconomics Annual|International Journal of Central Banking|Journal of Economic Theory|Quarterly Journal of Economics|American Economic Journal: Macroeconomics|Journal of Monetary Economics|Journal of Money, Credit and Banking|Journal of Monetary Economics|Econometrica|Journal of Economic Perspectives|American Economic Review|International Economic Review|Manchester School|American Journal of Agricultural Economics|Journal of Monetary Economics|Journal of Economic Theory|Journal of Political Economy|Review of Economic Studies|American Economic Review|Review of Economic Studies|Journal of Economic Theory|Economic Theory|Econometrica|Handbook of Macroeconomics|Journal of Economic Theory|Journal of Economic Perspectives|American Economic Review|Journal of Monetary Economics|Journal of Economic Theory|Review of Economic Studies|Quarterly Journal of Economics|The Journal of Finance|The Journal of Finance|Journal of Financial Economics|Carnegie-Rochester Confer. Series on Public Policy",2013|2013|2012|2010|2009|2008|2008|2007|2007|2006|2005|2005|2004|2004|2004|2004|2003|2003|2002|2002|2000|2000|2000|1999|1998|1998|1997|1996|1993|1993|1990|1989|1988|1988|1985
7004578656,2-s2.0-84879703636|2-s2.0-79955452949|2-s2.0-77957161005|2-s2.0-73849138205|2-s2.0-33750942681|2-s2.0-31344458190|2-s2.0-29344442351|2-s2.0-4043181977|2-s2.0-0344304625|2-s2.0-1842842964|2-s2.0-0041077369|2-s2.0-0040884259|2-s2.0-0002153552,Journal of Economic Perspectives|Quarterly Journal of Economics|Journal of Financial Economics|American Economic Review|Journal of Political Economy|Journal of Monetary Economics|Review of Financial Studies|American Economic Review|Journal of Public Economics|Journal of Political Economy|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics,2013|2011|2010|2009|2006|2006|2006|2004|2004|2004|2001|2001|2001
