presentation_title,nber_wp,published_version,eid,comment
"FINANCIAL INTERMEDIATION, ASSET PRICES, AND MACROECONOMIC DYNAMICS",,MACRO RISK PREMIUM AND INTERMEDIARY BALANCE SHEET QUANTITIES,2-s2.0-79960253690,
FINANCIAL LIBERALIZATION AND THE ALLOCATION OF INVESTMENT: MICRO EVIDENCE FROM DEVELOPING COUNTRIES,,DOES FINANCIAL LIBERALIZATION IMPROVE THE ALLOCATION OF INVESTMENT?. MICRO-EVIDENCE FROM DEVELOPING COUNTRIES,2-s2.0-33947203154,
FINANCIAL MARKET DISLOCATIONS,,FINANCIAL MARKET DISLOCATIONS,2-s2.0-84900500452,
FINANCIAL MARKETS AND FLUCTUATIONS IN UNCERTAINTY,,FINANCIAL MARKETS AND FLUCTUATIONS IN UNCERTAINTY,,SED
FINANCIAL MARKETS AND UNEMPLOYMENT,17389,,,
FINANCIAL MARKETS AND WAGES,11050,FINANCIAL MARKETS AND WAGES,2-s2.0-64149120417,
FINANCING CONSTRAINTS AND UNEMPLOYMENT: EVIDENCE FROM THE GREAT RECESSION,,FINANCING CONSTRAINTS AND UNEMPLOYMENT: EVIDENCE FROM THE GREAT RECESSION,2-s2.0-84943357684,
"FINANCING CONSTRAINTS, IRREVERSIBILITY AND INVESTMENT DYNAMICS",,"FINANCING CONSTRAINTS, IRREVERSIBILITY, AND INVESTMENT DYNAMICS",2-s2.0-34548850044,
FIRE-SALE FDI,15567,CRISIS RESOLUTION AND BANK LIQUIDITY,2-s2.0-79957493913,
FISCAL POLICY AND FINANCIAL DEPTH,10532,,,
FISCAL POLICY AND MACROECONOMIC UNCERTAINTY IN DEVELOPING COUNTRIES: THE TALE OF THE TORMENTED INSURER,12586,,,
FISCAL POLICY IN AN INCOMPLETE MARKETS ECONOMY,,FISCAL POLICY AND ASSET PRICES WITH INCOMPLETE MARKETS,2-s2.0-84872720935,
FISCAL STIMULUS AND DISTORTIONARY TAXATION,17111,FISCAL STIMULUS AND DISTORTIONARY TAXATION,2-s2.0-84946399780,
FISCAL STIMULUS IN A MONETARY UNION: EVIDENCE FROM U.S. REGIONS,17391,FISCAL STIMULUS IN A MONETARY UNION: EVIDENCE FROM US REGIONS,2-s2.0-84896950361,
FISCAL STIMULUS WITH SPENDING REVERSALS,,CROSS-BORDER SPILLOVERS FROM FISCAL STIMULUS,2-s2.0-79751478517,
FIVE DECADES OF CONSUMPTION AND INCOME POVERTY,14827,,,
FOLLOWING THE LEADER: SIMPLE ESTIMATES OF THE EFFECT OF MONETARY POLICY ON THE ECONOMY,,FOLLOWING GERMANY'S LEAD: USING INTERNATIONAL MONETARY LINKAGES TO ESTIMATE THE EFFECT OF MONETARY POLICY ON THE ECONOMY,2-s2.0-70449441122,
FORCED SALES AND HOUSE PRICES,14866,FORCED SALES AND HOUSE PRICES,2-s2.0-84860390499,
FORECASTING OUTPUT AND INFLATION: THE ROLE OF ASSET PRICES,8180,FORECASTING OUTPUT AND INFLATION: THE ROLE OF ASSET PRICES,2-s2.0-2442579426,
FORECASTING THE TERM STRUCTURE OF GOVERNMENT BOND YIELDS,10048,FORECASTING THE TERM STRUCTURE OF GOVERNMENT BOND YIELDS,2-s2.0-31344448314,
FORECASTING TIME SERIES SUBJECT TO MULTIPLE STRUCTURAL BREAKS,,FORECASTING TIME SERIES SUBJECT TO MULTIPLE STRUCTURAL BREAKS,2-s2.0-33749045516,
FORECASTING U.S. INFLATION BY BAYESIAN MODEL AVERAGING,,FORECASTING US INFLATION BY BAYESIAN MODEL AVERAGING,2-s2.0-61649107938,
"FORECLOSURES, HOUSE PRICES AND THE REAL ECONOMY",16685,"FORECLOSURES, HOUSE PRICES, AND THE REAL ECONOMY",2-s2.0-84938639660,
FRAILTY CORRELATED DEFAULT,,FRAILTY CORRELATED DEFAULT,2-s2.0-70349478737,
FREQUENCY OF PRICE ADJUSTMENT AND PASS-THROUGH,14200,FREQUENCY OF PRICE ADJUSTMENT AND PASS-THROUGH,2-s2.0-77951966414,
FROM HOUSING BUST TO CREDIT CRUNCH: EVIDENCE FROM SMALL BUSINESSES LOANS,,FROM HOUSING BUST TO CREDIT CRUNCH: EVIDENCE FROM SMALL BUSINESS LOANS,2-s2.0-84962615027,
"FUTURE TECHNOLOGY, ENDOGENOUS DIFFUSION, ECONOMIC FLUCTUATIONS AND THE STOCK MARKET",,"FUTURE TECHNOLOGY, ENDOGENOUS DIFFUSION, ECONOMIC FLUCTUATIONS AND THE STOCK MARKET",,SED
FUTURES PRICES AS RISK ADJUSTED FORECASTS OF MONETARY POLICY,10547,FUTURES PRICES AS RISK-ADJUSTED FORECASTS OF MONETARY POLICY,2-s2.0-46749114332,
GLAMOUR VS. VALUE: THE REAL STORY,,"FUNDAMENTALS, MISVALUATION, AND BUSINESS INVESTMENT",2-s2.0-80053312546,
GLOBAL BUSINESS CYCLES: CONVERGENCE OR DECOUPLING,,GLOBAL BUSINESS CYCLES: CONVERGENCE OR DECOUPLING,2-s2.0-84861443455,
GLOBAL INFLATION,,GLOBAL INFLATION,2-s2.0-77955152355,
"GOING POSTAL: WHAT BLACK EMPLOYMENT IN THE POSTAL SERVICE REVEALS ABOUT THE INCREASING COST OF RACIAL SEGREGATION, 1940-2000",,"RACE, SEGREGATION, AND POSTAL EMPLOYMENT: NEW EVIDENCE ON SPATIAL MISMATCH",2-s2.0-56449100656,
GOVERNMENT INTERVENTION AND INFORMATION AGGREGATION BY PRICES,,GOVERNMENT INTERVENTION AND INFORMATION AGGREGATION BY PRICES,2-s2.0-84946781336,
GREAT EXPECTATIONS AND THE END OF THE DEPRESSION,,GREAT EXPECTATIONS AND THE END OF THE DEPRESSION,2-s2.0-53349177191,
"GROWTH OPPORTUNITIES, TECHNOLOGY SHOCKS AND ASSET PRICES",17795,"GROWTH OPPORTUNITIES, TECHNOLOGY SHOCKS, AND ASSET PRICES",2-s2.0-84897830252,
GROWTH OR GLAMOUR FUNDAMENTALS AND SYSTEMATIC RISK IN STOCK RETURNS,11389,GROWTH OR GLAMOUR? FUNDAMENTALS AND SYSTEMATIC RISK IN STOCK RETURNS,2-s2.0-75449095237,
HAS NEW YORK BECOME LESS COMPETITIVE IN GLOBAL MARKETS: EVALUATING FOREIGN LISTING CHANGES OVER TIME,,HAS NEW YORK BECOME LESS COMPETITIVE THAN LONDON IN GLOBAL MARKETS? EVALUATING FOREIGN LISTING CHOICES OVER TIME,2-s2.0-61549094053,
HAVE RATING AGENCIES BECOME MORE CONSERVATIVE,,HAVE RATING AGENCIES BECOME MORE CONSERVATIVE? IMPLICATIONS FOR CAPITAL STRUCTURE AND DEBT PRICING,2-s2.0-84908317449,
HEALTH INSURANCE AND THE CONSUMER BANKRUPTCY DECISION: EVIDENCE FROM MEDICAID EXPANSIONS,,HEALTH INSURANCE AND THE CONSUMER BANKRUPTCY DECISION: EVIDENCE FROM EXPANSIONS OF MEDICAID,2-s2.0-79955043797,
"HEDGING, STOCK MARKET PERFORMANCE AND PORTFOLIO CHOICE",,"HEDGING, FAMILIARITY AND PORTFOLIO CHOICE",2-s2.0-33645740842,
HETEROGENEITY IN PRICE STICKINESS AND THE NEW KEYNESIAN PHILLIPS CURVE,,HETEROGENEITY IN PRICE STICKINESS AND THE REAL EFFECTS OF MONETARY SHOCKS,2-s2.0-33846024751,
HETEROGENEITY WITHIN COMMUNITIES: A STOCHASTIC MODEL WITH TENURE CHOICE,,HETEROGENEITY WITHIN COMMUNITIES: A STOCHASTIC MODEL WITH TENURE CHOICE,2-s2.0-44249103250,
HETEROGENEOUS BELIEFS AND BOND YIELDS,12781,HETEROGENEOUS EXPECTATIONS AND BOND MARKETS,2-s2.0-77950252071,
"HOLD-UP, ASSET OWNERSHIP, AND REFERENCE POINTS",13540,"HOLD-UP, ASSET OWNERSHIP, AND REFERENCE POINTS",2-s2.0-62949219389,
"HOME IS WHERE THE EQUITY IS: LIQUIDITY, CONSTRAINTS, REFINANCING AND CONSUMPTION",,HOME IS WHERE THE EQUITY IS: MORTGAGE REFINANCING AND HOUSEHOLD CONSUMPTION,2-s2.0-11244328269,
HOME OWNERSHIP AND THE DURATION OF UNEMPLOYMENT: A TEST OF THE OSWALD HYPOTHESIS,,HOME-OWNERSHIP AND UNEMPLOYMENT IN THE US,2-s2.0-0034888949,
"HOME OWNERSHIP: VOLATILE HOUSING PRICES, LOW LABOR MOBILITY AND HIGH INCOME DISPERSION",,HETEROGENEITY WITHIN COMMUNITIES: A STOCHASTIC MODEL WITH TENURE CHOICE,2-s2.0-44249103250,
"HOME PRICE RISK, LOCAL MARKET SHOCKS, AND INDEX HEDGING",,"HOME PRICE RISK, LOCAL MARKET SHOCKS, AND INDEX HEDGING",2-s2.0-84862623472,
"HOUSE PRICES, HOME EQUITY-BASED BORROWING, AND THE U.S. HOUSEHOLD LEVERAGE CRISIS",15283,"HOUSE PRICES, HOME EQUITY-BASED BORROWING, AND THE US HOUSEHOLD LEVERAGE CRISIS",2-s2.0-84860388805,
HOUSEHOLD RISK MANAGEMENT AND OPTIMAL MORTGAGE CHOICE,9759,HOUSEHOLD RISK MANAGEMENT AND OPTIMAL MORTGAGE CHOICE,2-s2.0-0345447667,
HOUSES AS ATMS? MORTGAGE REFINANCING AND MACROECONOMIC UNCERTAINTY,19421,,,
"HOUSING COLLATERAL, CONSUMPTION INSURANCE AND RISK PREMIA",,"HOUSING COLLATERAL, CONSUMPTION INSURANCE, AND RISK PREMIA: AN EMPIRICAL PERSPECTIVE",2-s2.0-19944401836,
HOW BIG (SMALL?) ARE FISCAL MUTLIPLIERS?,16479,HOW BIG (SMALL?) ARE FISCAL MULTIPLIERS?,2-s2.0-84875585588,
"HOW DO DIFFERENT EXPORTERS REACT TO EXCHANGE RATE CHANGES THEORY, EMPIRICS, AND AGGREGATE IMPLICATIONS",,HOW DO DIFFERENT EXPORTERS REACT TO EXCHANGE RATE CHANGES?,2-s2.0-84863393449,
"HOW DO FAMILY OWNERSHIP, CONTROL, AND MANAGEMENT AFFECT FIRM VALUE",,"HOW DO FAMILY OWNERSHIP, CONTROL AND MANAGEMENT AFFECT FIRM VALUE?",2-s2.0-33646477423,
HOW ELASTIC IS RESIDENTIAL CAPITAL INVESTMENT TO PROPERTY TAXATION? EVIDENCE FROM COURT-INDUCED TAX CHANGES,,QUASI-EXPERIMENTAL EVIDENCE ON THE CONNECTION BETWEEN PROPERTY TAXES AND RESIDENTIAL CAPITAL INVESTMENT,2-s2.0-84922010381,
HOW OFTEN TO SAMPLE A CONTINUOUS-TIME PROCESS IN THE PRESENCE OFMARKET MICROSTRUCTURE NOISE,9611,HOW OFTEN TO SAMPLE A CONTINUOUS-TIME PROCESS IN THE PRESENCE OF MARKET MICROSTRUCTURE NOISE,2-s2.0-25844435205,
HOW SENSITIVE IS INVESTMENT TO CASH FLOW WHEN FINANCING IS FRICTIONLESS,,HOW SENSITIVE IS INVESTMENT TO CASH FLOW WHEN FINANCING IS FRICTIONLESS?,2-s2.0-0042481764,
HOW USEFUL ARE ESTIMATED DSGE MODEL FORECASTS FOR CENTRAL BANKERS?,,HOW USEFUL ARE ESTIMATED DSGE MODEL FORECASTS FOR CENTRAL BANKERS?,2-s2.0-80051561006,
HUMAN CAPITAL VALUES AND RETURNS: BOUNDS IMPLIED BY EARNINGS AND ASSET RETURNS DATA,,HUMAN CAPITAL VALUES AND RETURNS: BOUNDS IMPLIED BY EARNINGS AND ASSET RETURNS DATA,2-s2.0-79956301088,
IDENTIFICATION AND MIS-SPECIFICATION ISSUES IN FORWARD-LOOKING MODELS,,"IDENTIFICATION ISSUES IN FORWARD-LOOKING MODELS ESTIMATED BY GMM, WITH AN APPLICATION TO THE PHILLIPS CURVE",2-s2.0-22544474667,
IDENTIFICATION THROUGH HETEROSKEDASTICITY,,IDENTIFICATION THROUGH HETEROSKEDASTICITY,2-s2.0-0142003668,
IDENTIFYING EULER EQUATION MODELS VIA STABILITY RESTRICTIONS,,IDENTIFICATION USING STABILITY RESTRICTIONS,2-s2.0-84908200912,
IDENTIFYING GOVERNMENT SPENDING SHOCKS: IT'S ALL IN THE TIMING,15464,IDENTIFYING GOVERNMENT SPENDING SHOCKS: IT'S ALL IN THE TIMING,2-s2.0-79953676645,
IDENTIFYING THE INFLUENCES OF REAL AND NOMINAL RIGIDITIES IN AGGREGATE PRICE SETTING BEHAVIOR,,IDENTIFYING THE INFLUENCES OF NOMINAL AND REAL RIGIDITIES IN AGGREGATE PRICE-SETTING BEHAVIOR,2-s2.0-34547707640,
IDENTIFYING THE SOURCES OF INSTABILITIES IN MACROECONOMIC FLUCTUATIONS,,IDENTIFYING THE SOURCES OF INSTABILITIES IN MACROECONOMIC FLUCTUATIONS,2-s2.0-84861218594,
"IDIOSYNCRATIC PRODUCTION RISK, GROWTH AND THE BUSINESS CYCLE",,"IDIOSYNCRATIC PRODUCTION RISK, GROWTH AND THE BUSINESS CYCLE",2-s2.0-33747774838,
IDIOSYNCRATIC RISK AND AGGREGATE EMPLOYMENT DYNAMICS,7936,IDIOSYNCRATIC RISK AND AGGREGATE EMPLOYMENT DYNAMICS,2-s2.0-1842710982,
IMMIGRATION AND HOUSING RENTS IN AMERICAN CITIES,,IMMIGRATION AND HOUSING RENTS IN AMERICAN CITIES,2-s2.0-33846582862,
IMMIGRATION AND THE MACROECONOMY,,"IMMIGRATION, REMITTANCES AND BUSINESS CYCLES",2-s2.0-84858161083,
IMPERFECT CREDIBILITY AND INFLATION PERSISTENCE,,IMPERFECT CREDIBILITY AND INFLATION PERSISTENCE,2-s2.0-0037905666,
IMPERFECT CREDIBILITY AND THE ZERO LOWER BOUND ON THE NOMINAL INTEREST RATE,,IMPERFECT CREDIBILITY AND THE ZERO LOWER BOUND,2-s2.0-84858158432,
IMPERFECT INFORMATION AND OPTIMAL MONETARY POLICY,,"EXOGENOUS INFORMATION, ENDOGENOUS INFORMATION, AND OPTIMAL MONETARY POLICY",2-s2.0-84893366083,
"IMPERFECT KNOWLEDGE, INFLATION EXPECTATIONS, AND MONETARY POLICY",9884,"IMPERFECT KNOWLEDGE, INFLATION EXPECTATIONS, AND MONETARY POLICY",,In Chapter
IMPLICATIONS OF DYNAMIC FACTOR MODELS FOR VAR ANALYSIS,11467,,,
IMPLICIT GUARANTEES AND RISK TAKING,,HOW SAFE ARE MONEY MARKET FUNDS?,2-s2.0-84880317974,
IMPROVING ASSET PRICE PREDICTION WHEN ALL MODELS ARE FALSE,,IMPROVING ASSET PRICE PREDICTION WHEN ALL MODELS ARE FALSE,2-s2.0-84912071544,
IMPROVING FORECAST ACCURACY BY COMBINING RECURSIVE AND ROLLING FORECASTS,,IMPROVING FORECAST ACCURACY BY COMBINING RECURSIVE AND ROLLING FORECASTS,2-s2.0-65349183513,
IN-SAMPLE AND OUT-OF-SAMPLE TESTS OF PREDICTABILITY: WHICH ONE SHOULD WE USE?,,IN-SAMPLE OR OUT-OF-SAMPLE TESTS OF PREDICTABILITY: WHICH ONE SHOULD WE USE?,2-s2.0-11344278864,
INACCURATE AGE AND SEX DATA IN THE CENSUS PUMS FILES: EVIDENCE AND IMPLICATIONS,15703,,,
INCENTIVES FOR INFORMATION PRODUCTION IN MARKETS WHERE PRICES AFFECT REAL INVESTMENT,,INCENTIVES FOR INFORMATION PRODUCTION IN MARKETS WHERE PRICES AFFECT REAL INVESTMENT,2-s2.0-85037714563,
INDEX INVESTING AND THE FINANCIALIZATION OF COMMODITIES,,INDEX INVESTMENT AND THE FINANCIALIZATION OF COMMODITIES,2-s2.0-84871180913,
INFERENCE FOR VARS IDENTIFIED WITH SIGN RESTRICTIONS,17140,,,
"INFERENCE IN MODELS WITH ADAPTIVE LEARNING, WITH AN APPLICATION TO THE NEW KEYNESIAN PHILIPS CURVE",,INFERENCE IN MODELS WITH ADAPTIVE LEARNING,2-s2.0-77951204072,
INFERENCE OF FACTOR MODELS OF LARGE DIMENSIONS,,INFERENTIAL THEORY FOR FACTOR MODELS OF LARGE DIMENSIONS,2-s2.0-0037277111,
INFLATION AND UNEMPLOYMENT IN THE LONG RUN,13924,INFLATION AND UNEMPLOYMENT IN THE LONG RUN,2-s2.0-79952159560,
INFLATION AND WELFARE IN MODELS WITH TRADING FRICTIONS,,INFLATION AND WELFARE IN MODELS WITH TRADING FRICTIONS,2-s2.0-84859441242,
INFLATION DYNAMICS AND THE NEW KEYNESIAN PHILLIPS CURVE: AN IDENTIFICATION ROBUST ECONOMETRIC ANALYSIS,,INFLATION DYNAMICS AND THE NEW KEYNESIAN PHILLIPS CURVE: AN IDENTIFICATION ROBUST ECONOMETRIC ANALYSIS,2-s2.0-33746071568,
INFORMAL FINANCIAL NETWORKS: BROKERAGE AND THE FINANCING OF COMMERCIAL PROPERTIES,8874,INFORMAL FINANCIAL NETWORKS: THEORY AND EVIDENCE,2-s2.0-0242626585,
INFORMAL TAXATION,15221,INFORMAL TAXATION,2-s2.0-80053979222,
"INFORMATION DISCLOSURE, COGNITIVE BIASES, AND PAYDAY BORROWING",,"INFORMATION DISCLOSURE, COGNITIVE BIASES, AND PAYDAY BORROWING",2-s2.0-81255191663,
INFORMATION IMMOBILITY AND THE HOME BIAS PUZZLE,13366,INFORMATION IMMOBILITY AND THE HOME BIAS PUZZLE,2-s2.0-65649131198,
INFORMATION IN (AND NOT IN) THE TERM STRUCTURE,,INFORMATION IN (AND NOT IN) THE TERM STRUCTURE,2-s2.0-80051969492,
INFORMATION RIGIDITY AND THE EXPECTATIONS FORMATION PROCESS: A SIMPLE FRAMEWORK AND NEW FACTS,16537,INFORMATION RIGIDITY AND THE EXPECTATIONS FORMATION PROCESS: A SIMPLE FRAMEWORK AND NEW FACTS,2-s2.0-84938887908,
INFORMATION SHARING AND CREDIT: FIRM-LEVEL EVIDENCE FROM TRANSITION COUNTRIES,,INFORMATION SHARING AND CREDIT: FIRM-LEVEL EVIDENCE FROM TRANSITION COUNTRIES,2-s2.0-61449222181,
"INFORMATION SHOCKS, ANIMAL SPIRITS, AND THE MEANING OF INNOVATIONS IN CONSUMER CONFIDENCE",15049,"INFORMATION, ANIMAL SPIRITS, AND THE MEANING OF INNOVATIONS IN CONSUMER CONFIDENCE",2-s2.0-84862620070,
INFORMATION-CONSTRAINED STATE-DEPENDENT PRICING,14620,INFORMATION-CONSTRAINED STATE-DEPENDENT PRICING,2-s2.0-70149084119,
INHERITANCE LAW AND INVESTMENT IN FAMILY FIRMS,,INHERITANCE LAW AND INVESTMENT IN FAMILY FIRMS,2-s2.0-78650435882,
INSIDE AND OUTSIDE LIQUIDITY,14867,OUTSIDE AND INSIDE LIQUIDITY,2-s2.0-79955452949,
INSIGHTS FROM AN ESTIMATED SEARCH-BASED MONETARY MODEL WITH NOMINAL RIGIDITIES,,INSIGHTS FROM AN ESTIMATED SEARCH-BASED MONETARY MODEL WITH NOMINAL RIGIDITIES,,SED
"INSTITUTIONAL INVESTORS, CREDIT SUPPLY UNCERTAINTY, AND THE LEVERAGE OF THE FIRM",,SUPPLY UNCERTAINTY OF THE BOND INVESTOR BASE AND THE LEVERAGE OF THE FIRM,2-s2.0-84883303211,
INSTITUTIONAL STOCK TRADING ON LOAN MARKET INFORMATION,,INSTITUTIONAL STOCK TRADING ON LOAN MARKET INFORMATION,2-s2.0-79952440442,
INSURING CONSUMPTION USING INCOME-LINKED ASSETS,15829,INSURING CONSUMPTION USING INCOME-LINKED ASSETS,2-s2.0-80054065751,
INTERGENERATIONAL FISCAL CONSTITUTIONS: HOW TO PROTECT FUTURE GENERATIONS USING LAND TAXES AND FEDERALISM,8394,,,
INTERMEDIARY ASSET PRICING,14517,INTERMEDIARY ASSET PRICING,2-s2.0-84878615990,
"INTERMEDIATION, CAPITAL IMMOBILITY, AND ASSET PRICES",,INTERMEDIARY ASSET PRICING,2-s2.0-84878615990,
INTERNATIONAL CAPITAL FLOWS AND CREDIT MARKET IMPERFECTIONS: A TALE OF TWO FRICTIONS,,INTERNATIONAL CAPITAL FLOWS AND CREDIT MARKET IMPERFECTIONS: A TALE OF TWO FRICTIONS,2-s2.0-84873994919,
INTERNATIONAL CAPITAL FLOWS UNDER DISPERSED INFORMATION: THEORY AND EVIDENCE,14390,INTERNATIONAL CAPITAL FLOWS UNDER DISPERSED PRIVATE INFORMATION,2-s2.0-84900808048,
INTERNATIONAL CAPITAL MOBILITY: 1950-2006,,CAPITAL FLOWS AND MACROECONOMIC PERFORMANCE: LESSONS FROM THE GOLDEN ERA OF INTERNATIONAL FINANCE,2-s2.0-77956122704,
INTERNATIONAL DIMENSIONS OF OPTIMAL MONETARY POLICY,8230,INTERNATIONAL DIMENSIONS OF OPTIMAL MONETARY POLICY,2-s2.0-15844370501,
INTERNATIONAL FINANCIAL ADJUSTMENT,11155,INTERNATIONAL FINANCIAL ADJUSTMENT,2-s2.0-35348926208,
"INTERNATIONAL FINANCIAL INTEGRATION, AND ECONOMIC GROWTH: ACCOUNTING FOR THE EFFICIENCY EFFECT",14636,HOW BIG ARE THE GAINS FROM INTERNATIONAL FINANCIAL INTEGRATION?,2-s2.0-84875265703,
INTERNATIONAL LIQUIDITY ILLUSION: ON THE RISKS OF STERILIZATION,8141,,,
"INTERNATIONAL PORTFOLIOS, CAPITAL ACCUMULATION, AND FOREIGN ASSET DYNAMICS",,"INTERNATIONAL PORTFOLIOS, CAPITAL ACCUMULATION AND FOREIGN ASSETS DYNAMICS",2-s2.0-72149095710,
INTERNATIONAL RECESSIONS,17201,INTERNATIONAL RECESSIONS,2-s2.0-85045191798,
INTERNATIONAL RISK SHARING DURING THE GLOBALIZATION ERA,,INTERNATIONAL RISK SHARING DURING THE GLOBALIZATION ERA,2-s2.0-84860541375,
INTERNATIONAL TRADE AND MACROECONOMIC DYNAMICS WITH HETEROGENEOUS FIRMS,10540,INTERNATIONAL TRADE AND MACROECONOMIC DYNAMICS WITH HETEROGENEOUS FIRMS,2-s2.0-26444489007,
"INTERNATIONAL TRADE IN DURABLE GOODS: UNDERSTANDING VOLATILITY, CYCLICALITY AND ELASTICITIES",13814,"INTERNATIONAL TRADE IN DURABLE GOODS: UNDERSTANDING VOLATILITY, CYCLICALITY, AND ELASTICITIES",2-s2.0-78650827325,
INTERTEMPORAL DISTORTIONS IN THE SECOND BEST,13629,INTERTEMPORAL DISTORTIONS IN THE SECOND BEST,2-s2.0-84867811708,
INVESTMENT AND INTEREST RATE POLICY,,INVESTMENT AND INTEREST RATE POLICY,2-s2.0-0041398944,
INVESTMENT AND RETURNS WITH FINANCING CONSTRAINTS:EVIDENCE USING FIRM DATA,9365,ASSET PRICING IMPLICATIONS OF FIRMS' FINANCING CONSTRAINTS,2-s2.0-33750456128,
INVESTMENT AND THE COST OF CAPITAL: NEW EVIDENCE FROM THE CORPORATE BOND MARKET,13174,,,
INVESTMENT AND VALUE: A NEOCLASSICAL BENCHMARK,13866,WHAT EXPLAINS THE LAGGED-INVESTMENT EFFECT?,2-s2.0-84862147123,
INVESTMENT BANKING CAREERS,,WALL STREET OCCUPATIONS,2-s2.0-84937724003,
INVESTMENT DURING THE KOREAN FINANCIAL CRISIS: THE ROLE OF FOREIGN-DENOMINATED DEBT,13315,,,
INVESTMENT IN FINANCIAL LITERACY AND SAVING DECISIONS,,INVESTMENT IN FINANCIAL LITERACY AND SAVING DECISIONS,2-s2.0-84878655865,
INVESTMENT OPTIONS AND THE BUSINESS CYCLE,13307,INVESTMENT OPTIONS AND THE BUSINESS CYCLE,2-s2.0-70450267833,
"INVESTOR INFORMATION LONG RUN RISK, AND THE DURATION OF RISKY CASH-FLOWS",12912,"INVESTOR INFORMATION, LONG-RUN RISK, AND THE TERM STRUCTURE OF EQUITY",2-s2.0-84924599516,
"INVESTOR PROTECTION, RISK-SHARING AND INEQUALITY",,INVESTOR PROTECTION AND INCOME INEQUALITY: RISK SHARING VS RISK TAKING,2-s2.0-84861795605,
INVESTORS' HORIZONS AND THE AMPLIFICATION OF MARKET SHOCKS,,INVESTORS' HORIZONS AND THE AMPLIFICATION OF MARKET SHOCKS,2-s2.0-84878559798,
INVOLUNTARY UNEMPLOYMENT AND THE BUSINESS CYCLE,15801,INVOLUNTARY UNEMPLOYMENT AND THE BUSINESS CYCLE,,SED
IS CASH NEGATIVE DEBT A HEDGING PERSPECTIVE ON CORPORATE FINANCIAL POLICIES,11391,IS CASH NEGATIVE DEBT? A HEDGING PERSPECTIVE ON CORPORATE FINANCIAL POLICIES,2-s2.0-34648830566,
IS DISINFLATION GOOD FOR THE STOCK MARKET,8289,IS DISINFLATION GOOD FOR THE STOCK MARKET?,2-s2.0-0042671300,
IS FOREIGN EXCHANGE INTERVENTION EFFECTIVE: THE JAPANESE EXPERIENCES IN THE 1990S,,IS FOREIGN EXCHANGE INTERVENTION EFFECTIVE? THE JAPANESE EXPERIENCES IN THE 1990S,2-s2.0-84896171009,
IS NEWER BETTER? THE PENN WORLD TABLE REVISIONS AND THE CROSS-COUNTRY GROWTH LITERATURE,15455,IS NEWER BETTER? PENN WORLD TABLE REVISIONS AND THEIR IMPACT ON GROWTH ESTIMATES,2-s2.0-84875611644,
IS NOISE TRADING CANCELLED OUT BY AGGREGATION,,IS NOISE TRADING CANCELLED OUT BY AGGREGATION?,2-s2.0-77954880111,
IS THE VOLATILITY OF THE MARKET PRICE OF RISK DUE TO INTERMITTENT PORTFOLIO RE-BALANCING,,IS THE VOLATILITY OF THE MARKET PRICE OF RISK DUE TO INTERMITTENT PORTFOLIO REBALANCING,2-s2.0-84867739452,
IS VALUE RISKIER THAN GROWTH,,IS VALUE RISKIER THAN GROWTH,2-s2.0-25444488524,
LABOR INCOME AND PREDICTABLE STOCK RETURNS,8309,LABOR INCOME AND PREDICTABLE STOCK RETURNS,2-s2.0-29344442351,
"LABOR MARKET FRICTIONS, CAPITAL ADJUSTMENT COSTS, AND STOCK PRICES",,LABOR AND THE MARKET VALUE OF THE FIRM,2-s2.0-35348915491,
LAND OF ADDICTS? AN EMPIRICAL INVESTIGATION OF HABIT-BASED ASSET PRICING MODELS,,LAND OF ADDICTS? AN EMPIRICAL INVESTIGATION OF HABIT-BASED ASSET PRICING MODELS,2-s2.0-70350295881,
LAND USE REGULATION AND WELFARE,,LAND USE REGULATION AND WELFARE,2-s2.0-84904578984,
LARGE SHAREHOLDERS AND CORPORATE POLICIES,,LARGE SHAREHOLDERS AND CORPORATE POLICIES,2-s2.0-70349448582,
LEARNING AND SHIFTS IN LONG-RUN PRODUCTIVITY GROWTH,,LEARNING AND SHIFTS IN LONG-RUN PRODUCTIVITY GROWTH,2-s2.0-36049051953,
LEARNING AND THE CENTRAL BANK,,LEARNING AND THE CENTRAL BANK,2-s2.0-0842290234,
LEARNING UNDER AMBIGUITY,,LEARNING UNDER AMBIGUITY,2-s2.0-34548536224,
"LEASING, ABILITY TO REPOSSESS AND DEBT CAPACITY",,"LEASING, ABILITY TO REPOSSESS, AND DEBT CAPACITY",2-s2.0-61549132112,
"LEASING, ABILITY TO REPOSSESS, AND DEBT CAPACITY",,"LEASING, ABILITY TO REPOSSESS, AND DEBT CAPACITY",2-s2.0-61549132112,
LEGAL INVESTOR PROTECTION AND TAKEOVERS,17010,LEGAL INVESTOR PROTECTION AND TAKEOVERS,2-s2.0-84899918086,
LEGAL PROTECTION IN RETAIL FINANCIAL MARKETS,14972,,,
"LENDING BOOMS, SHARP REVERSALS AND REAL EXCHANGE RATE DYNAMICS",,"LENDING BOOMS, SHARP REVERSALS AND REAL EXCHANGE RATE DYNAMICS",2-s2.0-0345768825,
LEVERAGE AND PRICING IN BUYOUTS: AN EMPIRICAL ANALYSIS,15952,"BORROW CHEAP, BUY HIGH? THE DETERMINANTS OF LEVERAGE AND PRICING IN BUYOUTS",2-s2.0-84887508474,
